"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060485","GO:0060485","mesenchyme development","128/5862","314/28905",0.407643312101911,2.01005287210947,9.0766717657023,6.97212908535681e-17,3.05255937369772e-15,1.21669019556137e-15,"106957/114715/114716/11477/114774/11490/11501/11606/12006/12043/12159/12162/12168/12192/12558/12631/12667/13132/13138/13207/13614/13617/13618/13641/13731/13805/13838/13867/14182/14183/14268/14275/14538/14609/14726/15117/15213/15375/16193/16449/16776/16950/17131/171463/17242/17246/17260/17311/17869/17967/17999/18018/18121/18187/18188/18569/192176/19317/19664/19876/19877/19878/20289/20319/20348/20350/20351/20354/20356/20358/20360/20361/20583/20613/20681/208177/21385/21386/214968/21676/21677/21804/21814/21825/21844/21859/218877/218952/22409/22411/224143/22601/226352/226778/231858/233651/23790/23796/23967/24063/24064/24075/24136/243574/246154/319530/319757/353310/52662/56198/629378/66515/666794/67525/68010/68585/68675/69601/70300/71228/71461/71890/76707/76905/93840/94352/97064/98711",128
"GO:0140053","GO:0140053","mitochondrial gene expression","82/5862","167/28905",0.491017964071856,2.42116585661839,9.2898157787788,7.6874662543865e-17,3.34300897386699e-15,1.33245769999572e-15,"101122/102060/103172/105787/106338/107732/107733/108037/118451/12261/12628/14548/15115/170826/18100/18120/21379/216151/216767/224481/227682/229487/233870/234384/24030/27398/28028/320720/320806/338359/353172/384281/50529/52469/56280/56282/56284/60441/64655/64657/64658/64659/64660/66047/66077/66121/66230/66292/66399/66419/66845/66966/66973/67036/67212/67308/67417/67840/67994/68291/68499/68565/68572/68611/68735/69163/69956/70120/70207/70556/71799/71984/74600/75398/76563/78523/79044/93686/94063/94065/94067/99045",82
"GO:0018212","GO:0018212","peptidyl-tyrosine modification","127/5862","311/28905",0.408360128617363,2.01358743051602,9.06434288763835,7.79938411827406e-17,3.36891518021556e-15,1.34278340489113e-15,"109246/11302/11350/11352/11477/11549/11600/11603/11606/11804/11820/121021/12161/12182/12305/12389/12402/12491/12505/12702/12703/12805/12931/12985/13019/13640/13645/13649/13829/13835/13838/13841/13844/14159/14178/14182/14183/14184/14186/14191/14254/14360/15162/15163/15200/15458/15468/15587/15894/16000/16001/16156/16168/16193/16194/16195/16196/16402/16412/16416/16453/16542/16590/16800/16818/16878/16975/17005/17311/18003/18011/18016/18214/18590/18591/18596/18613/18750/18754/19116/19122/19229/19247/19260/192656/19283/19303/19699/20319/20354/20850/20963/211323/216869/21687/21802/21898/21926/22021/22059/22088/22137/226419/228357/230979/231134/233328/234779/257632/260299/329165/50490/51789/54635/56013/56468/56708/66610/67916/68833/71785/74012/74155/80794/83430/93672/98878",127
"GO:0090150","GO:0090150","establishment of protein localization to membrane","114/5862","268/28905",0.425373134328358,2.09747704670099,9.10398334584662,8.45978877767888e-17,3.62981337154275e-15,1.44677229833007e-15,"100101806/103425/106572/108672/109880/11426/11539/11735/12122/12295/12297/12569/12752/13829/140740/14275/14360/16553/16668/170759/17919/18145/18196/18633/19062/19122/192950/19326/19376/194309/20296/20335/20510/20619/20660/20742/20818/208884/20909/212073/213760/216363/216831/217337/22318/224454/225362/226744/226791/229593/230866/235442/235574/236792/23991/24067/260302/27008/27058/28185/30055/330192/332175/52028/53330/53333/53421/53620/54396/54411/56149/56297/56322/56462/58998/59020/65945/66048/66087/66212/66220/66384/66437/666060/66629/66661/66980/67067/67163/67378/67388/67398/67437/67775/68268/68617/68653/69035/69089/69804/70231/70605/70796/71446/72265/74043/74053/74498/75695/75965/76438/77254/77574/93742",114
"GO:0150115","GO:0150115","cell-substrate junction organization","60/5862","105/28905",0.571428571428571,2.81766340108203,9.41118346499336,1.1254165338417e-16,4.7968084846392e-15,1.91191362354286e-15,"107581/109711/110829/11350/11426/11815/11854/11856/12043/12552/12631/12821/13043/13518/13640/13829/14268/16398/16402/16410/16416/16475/16542/16774/16971/17387/17886/18810/19229/19247/192897/19303/19877/20194/20411/208177/216560/21687/21838/21894/218952/21961/22330/226352/226519/232227/235431/235442/23790/244895/26921/434204/50768/56229/67811/68606/69697/76707/77057/83409",60
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","126/5862","309/28905",0.407766990291262,2.01066271824786,9.00876405206,1.1804940086646e-16,4.99846015774039e-15,1.99228801877814e-15,"109246/11302/11350/11352/11477/11549/11600/11603/11606/11804/11820/121021/12161/12182/12305/12389/12402/12491/12505/12702/12703/12805/12931/12985/13019/13640/13645/13649/13829/13835/13838/13841/13844/14159/14178/14182/14183/14184/14186/14191/14254/14360/15162/15163/15200/15458/15468/15587/15894/16000/16001/16156/16168/16193/16194/16195/16196/16402/16412/16416/16453/16542/16590/16800/16818/16878/16975/17005/17311/18003/18011/18016/18214/18590/18591/18596/18613/18750/18754/19116/19122/19229/19247/19260/192656/19283/19303/19699/20319/20354/20850/20963/211323/216869/21687/21802/21898/21926/22059/22088/22137/226419/228357/230979/231134/233328/234779/257632/260299/329165/50490/51789/54635/56013/56468/56708/66610/67916/68833/71785/74012/74155/80794/83430/93672/98878",126
"GO:0032543","GO:0032543","mitochondrial translation","69/5862","130/28905",0.530769230769231,2.61717581292812,9.32080921600282,1.20030855934361e-16,5.0491411032258e-15,2.01248844796723e-15,"101122/102060/106338/107732/107733/108037/118451/12261/14548/15115/18100/18120/216767/227682/229487/233870/234384/24030/27398/28028/320806/353172/384281/50529/52469/56280/56282/56284/60441/64655/64657/64658/64659/64660/66047/66077/66121/66230/66292/66399/66419/66845/66973/67036/67212/67308/67417/67840/67994/68499/68565/68572/68611/68735/69163/69956/70120/70207/71799/71984/74600/75398/76563/78523/79044/94063/94065/94067/99045",69
"GO:0034446","GO:0034446","substrate adhesion-dependent cell spreading","58/5862","100/28905",0.58,2.85992835209826,9.39711726431163,1.40500376217153e-16,5.87182091775062e-15,2.34039245961176e-15,"107351/109880/110253/110829/11350/12261/13132/13640/13829/13835/13845/14114/14268/14369/14726/15117/16202/16410/16416/16776/16777/16779/16780/170758/17242/18003/18453/192176/19303/19324/20194/20440/21687/21754/218952/22174/225341/226519/231858/23790/23991/24066/241226/244895/26362/277360/381293/50706/50918/56013/56320/57342/57373/57764/60595/67451/68750/69538",58
"GO:0030099","GO:0030099","myeloid cell differentiation","180/5862","500/28905",0.36,1.77512794268168,8.8184726007863,1.57090104379778e-16,6.52278652766614e-15,2.59985456280828e-15,"100101806/107371/108655/109711/11501/11518/117149/11740/11757/11820/12010/12053/12159/12192/12326/12349/12367/12370/12394/12520/12571/12577/12633/12703/12985/13132/13388/13423/13819/13829/13836/13871/14057/14063/14082/14102/14104/14118/14159/14184/14218/14247/14380/14381/14389/14390/14466/14723/14724/14734/14815/15163/15185/15289/15467/15526/15900/15950/16168/16323/16416/16449/16535/16590/16878/16889/16909/170826/17089/17129/17132/17150/17189/17260/17268/17311/17342/17869/17886/18003/18018/18032/18102/18103/18174/18605/18718/18750/18795/19016/192176/19229/19247/19317/19401/19411/19659/19664/19766/20259/20308/20480/20514/20807/20850/20851/208638/211770/215653/216820/21814/21833/21898/21926/21950/22034/22038/22041/22042/223690/224792/226419/226421/227358/22778/229615/230721/233328/234515/234836/235497/235505/235627/237339/23871/23991/24067/24088/24108/241525/242687/26365/26379/26564/26934/27060/27419/29813/320404/320910/381319/50875/52065/54411/54624/56199/56419/57816/59003/64602/665155/66663/67017/67087/67588/67739/69188/69656/70564/70747/71982/74443/76044/77573/80280/80752/83430/83554/93686/93759",180
"GO:0090287","GO:0090287","regulation of cellular response to growth factor stimulus","131/5862","327/28905",0.400611620795107,1.97538022843442,8.94672894096296,1.60880024129508e-16,6.63733227754816e-15,2.64551024833746e-15,"101540/102141/105450/107392/11350/114249/114715/114716/11600/11606/116701/12159/12389/12393/12509/12512/12560/12562/12577/12633/12667/12683/12914/13179/13388/13805/14118/14119/14164/14182/14275/14313/14314/14362/14563/14718/14733/14734/16202/16400/16412/16542/16840/16971/170441/17130/17131/171463/17965/17999/18049/18121/18591/19016/19664/19876/20319/20320/20358/20481/20563/20660/20666/21413/21417/21419/215001/216805/21687/21804/21807/21814/21825/219134/22057/22059/22341/22433/22436/230597/235505/239337/240185/24063/24064/24066/240725/241226/24136/241639/244058/246154/260299/26427/268935/268977/27528/30878/320150/333088/353310/381290/407831/50523/50766/52463/52592/52662/56213/56217/56424/58250/64074/65960/66695/67903/68010/68526/69121/69601/70300/71753/72043/74048/74769/76905/78560/80752/83554/93759/94187",131
