"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Glycan biosynthesis and metabolism","mmu00512","Mucin type O-glycan biosynthesis - Mus musculus (house mouse)","19/2766","32/9709",0.59375,2.08413548445409,3.87708718422573,0.000251607277231977,0.00175283061666017,0.000985505266277779,"230145/14423/20446/233733/171212/20448/20442/14537/94192/108150/20447/59048/20444/72297/14426/14425/218476/108760/78754",19
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway - Mus musculus (house mouse)","36/2766","75/9709",0.48,1.6848590021692,3.75790561970783,0.000254862611917948,0.00175283061666017,0.000985505266277779,"68428/12043/12534/12649/268697/12367/55948/434175/140742/20437/20135/21825/11920/12442/22059/16000/64058/21933/12521/13197/17246/12444/12370/71361/12571/29870/29813/16009/20724/12575/12452/12371/14102/12448/12122/12443",36
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection - Mus musculus (house mouse)","98/2766","254/9709",0.385826771653543,1.35429939478823,3.61138584341196,0.000280002023101755,0.00188721363570583,0.00106106029806981,"18019/15015/100529082/11651/16416/231991/15006/20312/18750/11512/110557/18709/12367/13555/14672/26427/14673/18795/432530/15040/18752/14696/14972/14700/19878/16410/16801/13712/15007/69632/22059/16439/242705/69717/104111/19217/15018/19225/12767/13685/18749/78284/14991/13649/16440/26396/66066/23797/17246/16438/12370/14678/18018/19303/110157/12571/19877/73181/21926/14707/14701/22033/14702/19216/18033/14682/74769/20663/18706/26399/14082/20296/15013/12575/12371/19229/11515/16193/14102/21354/14997/12314/70405/14681/104110/19094/12122/17869/12010/14963/19766/14708/21355/16194/12443/26415/170758/14704",98
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer - Mus musculus (house mouse)","45/2766","100/9709",0.45,1.57955531453362,3.67682690602512,0.000300637410066866,0.00198656484691243,0.00111691917052706,"13645/11651/12043/231991/14182/14183/71785/18709/13555/12576/26427/16001/11835/18590/18792/109880/22059/242705/16000/21414/78284/13649/26396/23797/17246/54635/20732/110157/12914/18591/21802/18033/74769/20663/18706/50528/12575/12371/18596/21417/18791/12448/21415/13876/12443",45
"Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion - Mus musculus (house mouse)","46/2766","103/9709",0.446601941747573,1.56762771237425,3.65534438976029,0.000320037872662736,0.00203495779410079,0.00114412744943977,"11941/231991/20778/18750/11512/14672/26427/18795/381290/75292/109305/432530/52163/15370/18754/18752/269060/20845/18760/16439/104111/18749/78284/16440/12325/16438/67972/207728/18227/101540/12289/14682/18160/11928/12326/11931/12288/16890/11515/12291/11606/12314/215303/70405/104110/12322",46
"Human Diseases","Cardiovascular disease","mmu05414","Dilated cardiomyopathy - Mus musculus (house mouse)","46/2766","103/9709",0.446601941747573,1.56762771237425,3.65534438976029,0.000320037872662736,0.00203495779410079,0.00114412744943977,"16398/16416/13527/12297/11512/16402/320910/432530/16905/20649/326618/16651/20650/16410/110891/16404/22003/16000/11938/16399/104111/18749/22004/16400/13726/16412/12293/12298/104099/12295/21926/109700/12289/13138/20541/24051/12288/11515/11606/241226/53313/16772/104110/20392/192897/13346",46
"Metabolism","Glycan biosynthesis and metabolism","mmu00604","Glycosphingolipid biosynthesis - ganglio series - Mus musculus (house mouse)","11/2766","15/9709",0.733333333333333,2.57409014220294,3.85071263576358,0.000406083606996881,0.00250493607284862,0.00140836636924177,"11416/15212/20448/20442/15211/12091/20447/20444/20454/14421/54218",11
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B - Mus musculus (house mouse)","67/2766","164/9709",0.408536585365854,1.43401363243567,3.53797465746963,0.000408817459960457,0.00250493607284862,0.00140836636924177,"18019/16179/12428/11651/12043/231991/20850/18750/18709/12367/22630/13555/54411/26427/12364/11799/22631/18752/13655/100039786/20851/230073/13712/109880/22059/242705/228607/78284/26397/26396/142980/21898/23797/12370/18018/110157/15530/12914/26401/73181/21926/117149/18033/74769/20663/24088/18706/26399/20847/71586/14082/13654/12575/12371/22034/19229/16193/14102/16453/110957/54123/13205/12448/19094/12122/17869/26415",67
"Organismal Systems","Endocrine system","mmu04921","Oxytocin signaling pathway - Mus musculus (house mouse)","63/2766","153/9709",0.411764705882353,1.44534473225299,3.50446198748804,0.000467441170997486,0.00281299418975273,0.00158156787179601,"18019/108097/12297/18750/11512/105787/18795/432530/52163/19735/329251/18752/230103/19878/108079/13712/16439/17904/17931/54720/234889/104111/19225/54195/18749/98932/13649/17260/107589/16440/26396/18430/12325/13631/16438/12494/14678/12293/12298/18018/110157/12295/19877/73181/23938/60596/12289/19045/14682/18160/12326/12575/12288/11515/12314/215303/70405/14681/104110/12322/16518/12443/211480",63
"Human Diseases","Cancer: overview","mmu05230","Central carbon metabolism in cancer - Mus musculus (house mouse)","33/2766","69/9709",0.478260869565217,1.67875444056714,3.57121585761713,0.000493509004494673,0.00291776376341587,0.00164047314513465,"68263/18641/11651/14182/14183/18597/18709/269951/15277/15926/16828/18213/56421/22059/228026/14381/14380/14660/13649/20514/20525/26396/23797/110157/18648/74769/14184/18706/16590/80879/18596/20539/17869",33
