"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"114643",48.7548840494302,2.04318120172023,0.397795956770356,5.13625432070378,2.80268324210535e-07,1.33698080699944e-06
"103806",1409.08270979509,1.65258712607516,0.321811696242617,5.13526122689233,2.81752390993743e-07,1.34359071707988e-06
"18604",559.9706565441,-1.20485752095717,0.234746009194669,-5.13260065672942,2.85765810703689e-07,1.36225350488437e-06
"11800",1998.87620963531,0.974905750949005,0.189997181103012,5.13115902714596,2.87963486118726e-07,1.37225057910208e-06
"18700",332.454807456523,1.14687522508107,0.223549527285289,5.13029590806268,2.8928705952929e-07,1.37807671499328e-06
"14852",4043.11193733737,-0.739684864269461,0.144259930382179,-5.12744503834056,2.93700681772846e-07,1.39861371417858e-06
"66916",933.895239451086,-1.92354666088777,0.375184077240667,-5.12694108725164,2.9448761573883e-07,1.40187198451467e-06
"22352",6101.01850936362,6.20780070280871,1.2109154429842,5.12653524965385,2.95122822357067e-07,1.40440595520546e-06
"214968",1555.97230394931,6.85691085184814,1.33767837825783,5.12597868314092,2.95996097759237e-07,1.40807066651031e-06
"15117",706.877729965637,7.6404269417257,1.49069720715215,5.12540501522913,2.9689881715952e-07,1.41187284201851e-06
"235542",2291.77912915384,-0.751944860800322,0.146719714191096,-5.12504311329933,2.97469670169965e-07,1.41409476087763e-06
"76895",1873.06786705931,1.27623327925408,0.249023043806948,5.12496056486829,2.97600027901358e-07,1.41422185960924e-06
"26404",367.310533828386,3.75825601865326,0.73336260295545,5.12469002851727,2.98027636631413e-07,1.41576094143596e-06
"230815",468.251019166007,-4.72413489699773,0.92185664247839,-5.1245873591549,2.98190070685122e-07,1.41603969544556e-06
"67997",139.428475735288,1.20158890300287,0.234496034345165,5.12413314945106,2.98909705879147e-07,1.41896336203082e-06
"66508",641.35114137808,-1.26982481122897,0.247817593466345,-5.12403011209701,2.99073188145247e-07,1.41924578296465e-06
"80280",899.673802856678,-1.74386304840189,0.340394764357434,-5.12306072537218,3.00615480289486e-07,1.42606884775492e-06
"67023",1099.97443437091,1.04699456586076,0.204408231405404,5.12207634038108,3.02189492378008e-07,1.43303759276409e-06
"22420",741.463824002546,9.38514091384164,1.83235653476641,5.12189671375177,3.02477569048728e-07,1.43390547494861e-06
"236899",153.812261819813,10.4477914088146,2.04016454767928,5.12105330949856,3.03833730044598e-07,1.43983428737801e-06
"22325",708.021468860929,-0.954660684057283,0.186463896117546,-5.11981517030765,3.05835250288165e-07,1.44881620823772e-06
"18767",429.450962073514,4.72335881401074,0.922695774543502,5.11908577488348,3.07020310896319e-07,1.45392546950484e-06
"19024",512.135395282401,-3.48182276289269,0.680224879141392,-5.11863483630237,3.07755174678171e-07,1.45689997364124e-06
"407786",178.27569877842,3.94451485804355,0.77091850638503,5.11664310218737,3.11021333862269e-07,1.47175373183803e-06
"329628",658.551485690525,4.89011663115074,0.955737404519224,5.11659019310923,3.11108551901576e-07,1.47175373183803e-06
"20411",4953.49488497938,6.57037362001782,1.28470691502033,5.11429769949812,3.1491037787617e-07,1.48922274333124e-06
"67991",698.72518237344,3.82250366737047,0.747492769421527,5.11376674630398,3.15797276409846e-07,1.49289962883324e-06
"20311",26.5843972395194,-6.15039823557616,1.20294163820789,-5.1127985267339,3.17420792361882e-07,1.50005504645255e-06
"241639",1085.83648759938,3.47420273771861,0.679716278256457,5.11125428190465,3.20026879017612e-07,1.51184729831512e-06
"56375",159.907816071953,1.17939119789143,0.230811736407998,5.10975401964249,3.22578516128942e-07,1.52337425194734e-06
"227929",1504.05889717413,-6.72128009125217,1.31568132809902,-5.10859274788335,3.2456707468357e-07,1.53223501739238e-06
"66204",149.924199558811,1.10487167551211,0.216287209047345,5.10835421280161,3.24977004107412e-07,1.53363974829113e-06
"621961",557.81063525733,-0.949028613602322,0.185798845558433,-5.10782836540206,3.25882454273605e-07,1.53738117384243e-06
"98932",20319.3198363907,8.92787993507068,1.74871383341768,5.10539790128044,3.30099179299456e-07,1.55673586699342e-06
"67763",1169.2139538967,1.69475104041982,0.331962608720136,5.10524678352735,3.30363092555609e-07,1.55744230991328e-06
"231801",297.028386631677,1.52165585173187,0.298067004876941,5.10507982042527,3.30654915104087e-07,1.55827979328059e-06
"74155",43197.3533551559,2.13765120558467,0.4188446987528,5.10368452065881,3.33103405928706e-07,1.56899680737063e-06
"68195",136.846763928447,-1.83753617232686,0.360043319823941,-5.10365300826967,3.33158905902703e-07,1.56899680737063e-06
"21843",1496.83142606395,-0.519098261322314,0.101713523717161,-5.10353237555504,3.33371448101482e-07,1.56940945304488e-06
"114874",654.397465950445,-1.06998622719223,0.2096593518102,-5.10345099302255,3.33514909527079e-07,1.56940945304488e-06
"17880",91669.7678693211,9.2588412243508,1.81424687723063,5.10340755745658,3.33591502292145e-07,1.56940945304488e-06
"20356",1218.48895783286,6.61254459280519,1.29577787319833,5.1031467117768,3.34051825784799e-07,1.57103353491073e-06
"106052",239.777990821334,1.03157409234374,0.20220113566295,5.10172254454239,3.36575936982102e-07,1.58235907265991e-06
"100503578",289.533092548901,1.64428203689884,0.322335978390298,5.10114336323906,3.37607701793313e-07,1.58666319355204e-06
"107769",75.2830174408694,4.96354133425149,0.973447879921538,5.09892870140265,3.41581173798864e-07,1.60478480551012e-06
